tree_label,display_name,f_kingdom,f_class,f_order,f_family,f_genus,f_species,type_meiosis,type_meiosis_ring,sex_no_recomb_ring,sex_chr_sys,diploid_num
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolor,bicolor,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolor bicolor,bicolor bicolor,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor bicolor,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolor longecarinatus,bicolor longecarinatus,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor longecarinatus,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bourdoni,bourdoni,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bourdoni,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|crassicauda,crassicauda,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,crassicauda,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|gonneti,gonneti,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,gonneti,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|liouvillei,liouvillei,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,liouvillei,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|maelfaiti,maelfaiti,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,maelfaiti,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|mauritanicus,mauritanicus,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,mauritanicus,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|sergenti,sergenti,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,sergenti,Achiasmatic,Achiasmatic,Heterogametic,NA,24
